course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,rating,content_duration,published_timestamp,subject,Date,Free/Paid
41295,Learn HTML5 Programming From Scratch,https://www.udemy.com/learn-html5-programming-from-scratch/,0,268923,8629,45,Beginner Level,0.82,10.5,2013-02-14T07:03:41Z,Web Development,2013-02-14,Free
59014,Coding for Entrepreneurs Basic,https://www.udemy.com/coding-for-entrepreneurs-basic/,0,161029,279,27,Expert Level,0.69,3.5,2013-06-09T15:51:55Z,Web Development,2013-06-09,Free
625204,The Web Developer Bootcamp,https://www.udemy.com/the-web-developer-bootcamp/,200,121584,27445,342,Beginner Level,0.89,43,2015-11-02T21:13:27Z,Web Development,2015-11-02,Paid
173548,Build Your First Website in 1 Week with HTML5 and CSS3,https://www.udemy.com/build-your-first-website-in-1-week/,0,120291,5924,30,All Levels,0.78,3,2014-04-08T16:21:30Z,Web Development,2014-04-08,Free
764164,The Complete Web Developer Course 2.0,https://www.udemy.com/the-complete-web-developer-course-2/,200,114512,22412,304,Beginner Level,0.55,30.5,2016-03-08T22:28:36Z,Web Development,2016-03-08,Paid
19421,Free Beginner Electric Guitar Lessons,https://www.udemy.com/beginner-electric-guitar-lessons/,0,101154,1042,95,All Levels,0.88,4.5,2012-06-15T17:00:33Z,Musical Instruments,2012-06-15,Free
473160,Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/web-design-secrets/,0,98867,6512,20,All Levels,0.82,3,2015-04-13T18:29:47Z,Web Development,2015-04-13,Free
94430,Learn Javascript & JQuery From Scratch,https://www.udemy.com/learn-javascript-jquery-from-scratch/,30,84897,2685,10,All Levels,0.79,2,2013-10-10T15:19:29Z,Web Development,2013-10-10,Paid
130064,Practical PHP: Master the Basics and Code Dynamic Websites,https://www.udemy.com/code-dynamic-websites/,0,83737,4598,45,Intermediate Level,0.85,6.5,2014-07-19T03:02:05Z,Web Development,2014-07-19,Free
364426,JavaScript: Understanding the Weird Parts,https://www.udemy.com/understand-javascript/,175,79612,16976,85,All Levels,0.69,11.5,2015-03-12T23:19:54Z,Web Development,2015-03-12,Paid
238934,Pianoforall - Incredible New Way To Learn Piano & Keyboard,https://www.udemy.com/pianoforall-incredible-new-way-to-learn-piano-keyboard/,200,75499,7676,362,Beginner Level,0.96,30,2014-08-07T06:27:51Z,Musical Instruments,2014-08-07,Paid
756150,Angular 4 (formerly Angular 2) - The Complete Guide,https://www.udemy.com/the-complete-guide-to-angular-2/,190,73783,19649,329,Beginner Level,0.9,22,2016-02-11T07:29:29Z,Web Development,2016-02-11,Paid
21386,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,0,73110,1716,22,All Levels,0.94,2,2012-07-27T12:54:57Z,Web Development,2012-07-27,Free
65330,Web Development By Doing: HTML / CSS From Scratch,https://www.udemy.com/web-development-learn-by-doing-html5-css3-from-scratch-introductory/,0,72932,2575,21,All Levels,0.39,1,2013-09-25T00:42:09Z,Web Development,2013-09-25,Free
405926,HTML and CSS for Beginners - Build a Website & Launch ONLINE,https://www.udemy.com/html-and-css-for-beginners-crash-course-learn-fast-easy/,0,70773,5660,50,All Levels,0.57,6,2015-03-19T19:07:12Z,Web Development,2015-03-19,Free
11174,Become a Web Developer from Scratch,https://www.udemy.com/how-to-become-a-web-developer-from-scratch/,120,69186,2408,197,All Levels,0.61,27.5,2011-11-19T21:51:20Z,Web Development,2011-11-19,Paid
49798,Bitcoin or How I Learned to Stop Worrying and Love Crypto,https://www.udemy.com/bitcoin-or-how-i-learned-to-stop-worrying-and-love-crypto/,0,65576,936,24,All Levels,0.56,8,2013-04-20T02:25:22Z,Business Finance,2013-04-20,Free
314462,Quickstart AngularJS,https://www.udemy.com/quickstart-angularjs/,0,64128,4047,17,Beginner Level,0.96,1.5,2014-11-22T12:42:22Z,Web Development,2014-11-22,Free
128946,Learn Responsive Web Development from Scratch,https://www.udemy.com/learn-responsive-web-development-from-scratch/,0,59639,2692,24,All Levels,0.55,4.5,2013-12-09T12:16:40Z,Web Development,2013-12-09,Free
289230,Learn and Understand AngularJS,https://www.udemy.com/learn-angularjs/,175,59361,11580,55,Beginner Level,0.87,7,2014-09-24T00:57:25Z,Web Development,2014-09-24,Paid
461160,Learn and Understand NodeJS,https://www.udemy.com/understand-nodejs/,195,58208,11123,98,Beginner Level,0.73,13,2015-08-31T21:07:48Z,Web Development,2015-08-31,Paid
556248,The Complete HTML & CSS Course - From Novice To Professional,https://www.udemy.com/htmlwebsite/,195,57422,874,84,All Levels,0.82,7.5,2015-07-27T16:57:52Z,Web Development,2015-07-27,Paid
48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,0,56659,4397,16,Beginner Level,0.95,1.5,2013-04-07T21:39:25Z,Business Finance,2013-04-07,Free
580466,Complete PHP Course With Bootstrap3 CMS System & Admin Panel,https://www.udemy.com/complete-php-course/,195,55332,1225,144,Intermediate Level,0.28,20,2015-09-22T18:14:08Z,Web Development,2015-09-22,Paid
348116,Photoshop In-Depth: Master all of Photoshop's Tools Easily,https://www.udemy.com/photoshop-tools/,0,53851,1779,45,All Levels,0.69,4.5,2014-11-30T04:22:11Z,Graphic Design,2014-11-30,Free
80940,Build Websites from Scratch with HTML & CSS,https://www.udemy.com/build-website-scratch/,145,51257,1955,77,All Levels,0.76,8,2013-09-25T15:59:09Z,Web Development,2013-09-25,Paid
133536,Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,0,50855,2698,15,All Levels,0.91,1.5,2013-12-25T19:53:34Z,Business Finance,2013-12-25,Free
705264,Modern React with Redux,https://www.udemy.com/react-redux/,180,50815,15117,150,All Levels,0.62,26.5,2015-12-28T19:20:21Z,Web Development,2015-12-28,Paid
94432,Learn PHP Fundamentals From Scratch,https://www.udemy.com/learn-php-fundamentals-from-scratch/,0,48650,1236,9,All Levels,0,2,2013-10-16T08:12:40Z,Web Development,2013-10-16,Free
